ccaa,ano,esp_esp,esp_quir,g_seguros_nom,g_dental,g_paramed,g_medicos,pib_pc,ipc_seguros,g_seguros_real,g_bolsillo_total,ipc_sanidad,g_bolsillo_real,g_dental_real,g_paramed_real,g_medicos_real,log_gasto_real,log_pib_pc,espera_lag1,espera_lag2,dummy_covid,espera_alta,pob_65_pct
andalucia,2016,54.0,76.0,124.95,367.25,65.42,33.1,17865.0,77.23108333333333,161.78719060654552,465.77,90.02616666666667,517.3718011615141,407.9369516640532,72.66776141010854,36.767088087352384,5.086281833422112,9.79059877045751,,,0,0,16.0
andalucia,2017,56.0,78.0,118.29,387.05,80.26,84.76,18691.0,79.95283333333333,147.9497286942093,552.07,90.33725,611.1211045277557,428.4500579771911,88.84485635770406,93.82619019286064,4.996872545077787,9.835797403566175,54.0,,0,0,16.3
andalucia,2018,176.0,214.0,144.22,394.49,66.93,59.25,19291.0,81.80033333333334,176.3073500107986,520.6700000000001,90.35783333333336,576.2311697749873,436.58638708689705,74.07216124040158,65.57262144768853,5.172228778896681,9.867393944887889,56.0,54.0,0,1,16.7
andalucia,2019,131.0,161.0,151.32,357.16,76.13,74.24,19744.0,83.9165,180.3221059028916,507.53,91.26658333333334,556.0961980425474,391.3370994677679,83.41497755202478,81.34412102275476,5.194744728921649,9.890604926705114,176.0,56.0,0,1,17.1
andalucia,2020,112.0,188.0,147.7,331.78,57.02,36.09,17772.0,85.4445,172.86074586427443,424.89,91.81741666666666,462.7553414430269,361.3475656851596,62.10150761157334,39.30626814629397,5.1524863331611535,9.7853794640558,131.0,176.0,1,1,17.5
andalucia,2021,105.0,128.0,176.94,412.74,88.82,48.85,19591.0,87.67916666666667,201.8039252958228,550.41,92.49083333333334,595.0968113957238,446.2496283415473,96.03113822090477,52.81604483327176,5.307296559146699,9.882825556088031,112.0,131.0,0,1,17.9
andalucia,2022,123.0,134.0,191.86,447.54,91.02,87.14,21569.0,90.23133333333334,212.631236747028,625.7,93.22208333333332,671.1928951026447,480.0793803328075,97.63780935311286,93.4757054167244,5.359559382429423,9.979012377622372,105.0,112.0,0,1,18.2
andalucia,2023,143.0,174.0,195.54,484.78,88.4,80.4,23165.0,92.9385,210.39719814716184,653.5799999999999,95.77341666666666,682.4231845823606,506.1738600046464,92.30118656794988,83.94813800976438,5.34899716398383,10.05039779785075,123.0,105.0,0,1,18.5
andalucia,2024,150.0,176.0,218.02,526.32,166.27,105.61,,96.26141666666666,226.4874209725773,798.2,97.414,819.3894101463857,540.2919498224076,170.68388527316404,108.41357505081406,5.422689406835965,,143.0,123.0,0,1,18.8
aragon,2016,79.0,99.0,149.09,445.5,65.14,,26243.0,77.72233333333334,191.8238858843661,510.64,90.0755,566.9022098128792,494.5850980566303,72.31711175624893,,5.256577690067538,10.175154565791225,,,0,0,20.8
