ccaa,ano,esp_esp,esp_quir,g_seguros_nom,g_dental,g_paramed,g_medicos,pib_pc,ipc_seguros,g_seguros_real,g_bolsillo_total,ipc_sanidad,g_bolsillo_real,g_dental_real,g_paramed_real,g_medicos_real
canarias,2019,122.0,133.0,186.06,297.54,48.17,69.61,21159.0,83.13383333333333,223.80779586329675,415.3200000000001,92.65341666666669,448.2511438236224,321.13224822614023,51.989448131522394,75.12944746595961
canarias,2020,134.0,151.0,161.46,277.59,40.97,46.43,17239.0,84.672,190.6887755102041,364.99,92.88308333333332,392.9563779554404,298.8595878151475,44.1092161561533,49.98757398413956
canarias,2021,118.0,144.0,188.33,241.33,102.46,41.94,19021.0,86.89708333333334,216.72764237388097,385.73,93.14925,414.09887894964265,259.07884389836744,109.99551794566248,45.024517105612766
canarias,2022,121.0,157.0,233.29,331.89,79.07,71.73,22238.0,89.36175000000001,261.0624791927194,482.69,94.139,512.7417967048726,352.5531395064745,83.99281912916007,76.19583806923805
canarias,2023,149.0,147.0,255.65,272.74,98.03,39.03,24256.0,92.2285,277.1919742812688,409.8,96.19175,426.02406131502966,283.5378293876554,101.9110266732854,40.57520525408884
canarias,2024,157.0,122.0,279.98,560.83,215.3,87.36,,95.87766666666668,292.0179534337159,863.4900000000001,98.1325,879.9225536901639,571.5028150714596,219.39724352278807,89.02249509591624
cantabria,2016,75.0,89.0,115.36,410.75,117.05,,22072.0,79.06175,145.91126556141242,527.8,88.34425,597.4355999400074,464.94254012004177,132.49305981996565,
cantabria,2017,77.0,86.0,118.26,310.51,104.34,,22922.0,81.88508333333334,144.42190834513,414.85,88.74900000000001,467.4418866691456,349.87436478157497,117.56752188757056,
cantabria,2018,67.0,87.0,111.72,383.99,82.53,,23818.0,83.67808333333333,133.5116622532583,466.52,89.04683333333332,523.9040879237705,431.2225214821415,92.68156644162904,
cantabria,2019,73.0,101.0,113.17,502.73,77.45,,24515.0,85.72816666666667,132.01028833386147,580.1800000000001,90.64175,640.0803161898353,554.6340400532868,85.44627613654856,
cantabria,2020,66.0,145.0,95.73,438.0,60.04,,22279.0,87.21108333333335,109.76815829027846,498.04,92.1135,540.6807905464455,475.5003338272892,65.18045671915625,
cantabria,2021,70.0,146.0,91.79,538.61,100.18,,24303.0,89.45549999999999,102.60967743738507,638.79,93.27008333333332,684.8819869893973,577.4734842629961,107.4085027264012,
cantabria,2022,91.0,154.0,95.2,465.0,93.72,,26506.0,92.27141666666668,103.17387923490212,558.72,94.207,593.076947572898,493.5938942966022,99.48305327629582,
cantabria,2023,90.0,173.0,123.38,635.37,103.19,,28392.0,94.59483333333333,130.4299565339192,738.56,95.32466666666666,774.7837215970683,666.5326218467413,108.25109975032696,
cantabria,2024,77.0,151.0,155.64,737.74,216.13,,,97.15183333333331,160.2028440019145,953.87,97.71141666666666,976.211411665474,755.0192445952665,221.1921670702076,
castilla y leon,2016,59.0,107.0,77.02,374.94,70.24,,22369.0,76.87416666666667,100.18970395343038,445.18,90.90516666666667,489.7191395428569,412.45180416954656,77.26733537331027,
castilla y leon,2017,70.0,78.0,106.95,366.65,71.78,,23076.0,79.73316666666666,134.1348957669226,438.43,91.88166666666666,477.1680966460484,399.04587422227866,78.1222224237697,
castilla y leon,2018,62.0,65.0,109.88,420.14,67.55,,24216.0,81.58458333333333,134.68230823838246,487.69,92.15433333333333,529.2100570419911,455.9091089946937,73.30094804729748,
castilla y leon,2019,66.0,94.0,111.3,358.67,80.09,,24849.0,83.70516666666667,132.96670257311874,438.76,92.88166666666666,472.3860108740513,386.1580146781748,86.22799619587649,
castilla y leon,2020,114.0,152.0,110.76,370.99,56.61,,22934.0,85.23674999999999,129.94395023273415,427.6,93.36,458.0119965724079,397.3757497857755,60.636246786632384,
castilla y leon,2021,77.0,144.0,116.25,493.69,107.36,,25020.0,87.46883333333334,132.90448216793408,601.05,94.544,635.7357420883397,522.1801489253681,113.55559316297176,
castilla y leon,2022,95.0,123.0,138.06,468.72,131.02,,27511.0,89.99616666666668,153.4065339820029,599.74,95.24833333333332,629.6593116240003,492.1030989168664,137.556212707134,
castilla y leon,2023,90.0,116.0,147.42,412.26,105.4,66.38,29273.0,92.74691666666666,158.9486802346529,584.04,97.08725,601.561997069646,424.6283626325804,108.5621438448406,68.37149059222504
castilla y leon,2024,89.0,95.0,155.07,523.25,169.29,92.99,,96.15825,161.26541404403676,785.53,98.48566666666666,797.6084506374871,531.2955861597458,171.89303350402935,94.41983097371192
castilla-la mancha,2016,42.0,162.0,88.9,390.42,44.72,,19149.0,74.544,119.25842455462548,435.14,90.98041666666666,478.2787504636987,429.1253154296026,49.15343503409617,
castilla-la mancha,2017,46.0,163.0,90.93,318.51,57.07,,20043.0,77.35758333333334,117.5450370627314,375.58,91.52766666666668,410.3458699191137,347.993138686663,62.35273123245065,
castilla-la mancha,2018,41.0,134.0,73.04,332.17,54.05,,20811.0,79.22725,92.19050263640352,386.22,91.73666666666666,421.0094109952401,362.0907670506159,58.91864394462411,
